645 320
415 74 0
421 279 0
563 310 0
216 247 0
169 177 1
201 293 0
567 204 1
560 284 1
563 274 1
304 259 0
215 146 0
169 88 1
607 122 0
113 129 1
421 318 0
605 286 1
215 193 1
383 250 1
120 230 0
34 98 0
215 309 1
215 253 0
421 205 0
215 307 1
536 64 1
169 0 1
97 186 1
215 304 1
34 100 0
452 124 0
169 134 1
304 131 1
97 0 0
215 241 0
210 209 1
210 207 1
216 206 1
210 183 1
210 204 1
210 202 1
567 295 1
421 259 0
169 269 0
607 167 0
210 201 1
563 168 0
495 308 0
222 255 1
216 295 0
383 293 0
138 275 0
113 149 1
304 273 1
520 65 1
222 127 0
304 0 1
215 213 0
534 197 1
222 84 0
534 266 1
215 209 0
210 190 1
563 202 1
210 191 1
304 270 1
567 0 0
215 119 1
304 82 0
535 313 1
421 199 1
210 193 1
643 232 0
534 293 0
424 204 1
499 248 0
215 233 1
567 246 0
520 306 0
421 181 1
421 175 0
215 179 1
607 309 0
216 304 0
210 194 1
520 297 0
534 303 0
1 298 0
216 234 1
210 195 1
442 317 1
495 229 0
210 196 1
304 197 0
383 173 0
215 263 1
210 199 1
210 200 1
216 312 0
557 271 0
215 275 1
120 314 0
495 279 0
502 269 1
567 223 0
563 64 0
383 280 0
210 205 1
222 274 0
442 71 0
210 206 1
502 301 0
222 200 1
452 297 0
25 178 1
452 0 1
421 298 0
215 245 0
607 232 1
222 95 1
415 292 0
567 231 1
442 195 1
215 107 0
201 243 0
210 211 1
424 318 1
216 265 0
383 130 0
567 225 0
215 299 1
442 285 1
113 91 0
113 137 1
557 64 1
415 124 1
563 0 1
25 171 1
215 302 1
607 298 0
210 169 0
424 251 1
424 259 0
557 163 1
215 303 1
560 253 0
216 300 1
201 300 0
502 201 0
421 211 0
147 201 0
201 313 0
215 305 1
215 306 1
605 298 1
34 201 0
605 273 0
495 300 0
502 283 1
424 188 0
215 308 1
567 209 0
34 283 1
629 254 1
304 253 0
201 275 0
216 259 1
210 163 1
120 0 0
215 310 1
557 284 1
499 0 0
215 312 1
567 250 0
607 0 0
215 315 1
567 253 1
210 157 0
421 0 1
215 316 1
1 257 0
215 317 1
520 274 0
215 161 0
499 123 1
424 122 1
424 275 0
424 267 0
215 158 1
215 155 0
520 163 1
120 126 0
535 65 1
222 101 1
138 286 0
643 300 0
607 272 0
495 119 0
215 143 0
563 300 0
536 299 1
210 189 1
215 205 1
215 217 1
1 0 0
215 152 1
567 254 1
421 306 1
304 191 1
169 308 1
499 280 0
629 122 1
147 0 0
215 225 0
25 163 1
216 213 0
215 85 0
421 74 0
629 0 0
216 316 1
605 62 1
138 90 0
34 99 0
1 272 0
421 163 0
499 310 1
216 253 0
567 283 1
304 203 1
1 216 1
536 310 0
215 191 1
629 286 0
216 158 0
210 237 1
210 238 1
169 312 1
216 122 1
120 90 0
304 312 0
210 239 1
442 272 1
495 159 0
452 289 1
415 283 1
452 305 0
0 0 0
25 154 1
605 166 0
424 311 0
535 121 1
210 242 1
383 0 1
560 0 0
210 244 1
215 249 0
138 258 0
421 294 0
567 222 1
495 0 1
210 245 1
210 246 1
107 0 0
215 243 0
210 247 1
34 0 1
424 71 0
215 235 1
452 276 0
34 103 0
383 309 0
215 176 1
643 274 0
563 288 1
216 0 1
215 173 1
534 280 0
210 250 1
210 251 1
567 304 1
97 193 1
557 304 1
209 0 0
383 317 0
210 252 1
557 294 1
567 232 1
215 185 0
215 189 0
421 244 1
222 142 1
534 163 1
215 257 0
629 202 1
560 306 1
210 254 1
567 244 1
499 164 1
424 304 0
442 123 1
421 302 1
304 304 1
210 256 1
222 203 1
97 119 0
97 155 1
535 199 1
421 269 0
415 231 1
415 165 0
113 144 1
567 124 1
304 265 0
1 188 0
215 255 1
215 134 0
215 137 1
210 214 1
210 215 1
421 254 1
210 216 1
424 290 0
210 217 1
452 69 0
383 267 0
210 149 1
452 245 0
210 218 1
222 96 1
210 220 1
304 282 1
34 302 0
557 120 0
138 161 1
215 199 1
499 293 1
210 221 1
210 222 1
567 298 0
520 315 0
210 223 1
97 179 0
25 145 1
210 224 1
210 225 1
535 0 1
215 181 0
643 255 0
629 309 1
215 113 1
567 205 0
210 226 1
536 166 1
210 227 1
304 207 0
304 295 1
215 229 0
222 295 1
415 308 1
557 314 0
147 132 1
210 229 1
97 145 0
421 289 0
201 307 1
560 164 1
304 308 1
210 230 1
113 113 0
216 220 1
502 122 1
442 309 0
534 0 0
112 0 1
222 94 1
415 270 0
421 284 1
201 196 0
304 319 1
442 238 1
643 168 1
605 231 0
215 211 1
201 87 1
215 110 1
210 179 1
304 218 0
421 125 0
216 285 1
567 311 1
304 113 1
201 160 1
535 303 0
424 283 1
536 0 1
215 282 1
222 299 0
304 92 1
210 153 0
421 132 0
629 167 1
502 251 1
215 283 1
421 157 1
216 280 0
216 275 1
567 294 0
557 0 1
210 177 1
304 262 0
304 229 1
421 169 1
120 158 0
629 298 1
535 250 1
567 210 0
138 244 0
215 97 0
120 295 0
452 262 1
560 122 0
215 269 0
557 253 1
215 298 1
120 271 1
495 265 0
215 0 1
421 187 1
216 290 0
169 205 0
421 229 0
629 232 0
520 231 0
304 249 0
215 273 0
607 62 0
97 171 0
499 266 0
215 286 1
210 181 1
222 184 0
421 249 0
1 309 1
169 288 0
304 201 1
383 301 0
424 236 1
222 311 1
442 301 1
138 291 1
215 287 1
304 212 0
215 292 1
534 313 1
215 289 1
222 303 1
535 293 1
520 255 0
567 309 0
97 98 1
415 201 1
215 279 1
215 195 0
215 293 1
304 182 1
442 162 1
215 290 1
535 268 1
607 201 0
