Case #1: 111
17 3 421257
17 6 619152
17 9 508636
17 11 109747
17 14 483425
Case #3: 50
1 24 317074
4 19 770843
4 25 552032
4 31 769455
5 39 512655
5 42 687310
6 37 881589
8 32 324609
8 30 468691
9 45 324238
10 30 244172
12 32 624987
13 18 766330
14 29 401463
16 21 511245
17 15 619615
18 13 766330
19 43 366674
20 21 447827
21 20 447827
24 29 2894
26 49 890831
28 29 385813
29 36 468511
29 28 385813
30 8 468691
31 32 630002
31 37 542691
32 8 324609
32 12 624987
32 31 630002
34 29 368251
35 43 390477
37 6 881589
37 31 542691
39 5 512655
39 11 502532
39 45 539362
41 5 693346
42 5 687310
43 32 615565
43 35 390477
43 39 717953
44 41 451636
45 17 369579
45 5 658735
45 9 324238
47 38 612271
47 42 280741
47 13 457442
Case #4: 285
1 2 127456
1 4 119506
1 7 164999
1 9 301137
1 11 226883
1 13 142020
1 15 124729
1 17 132837
1 19 345204
1 21 167786
1 24 89338
2 1 127456
2 4 117531
2 6 34580
2 8 126531
2 10 32104
2 12 48456
2 14 167187
2 16 214848
2 18 125670
2 20 36233
2 22 109093
2 24 58794
3 1 97228
3 4 87303
3 6 21172
3 8 96303
3 10 1876
3 12 18228
3 14 142824
3 16 184620
3 18 95442
3 20 6005
3 22 82812
3 24 28566
4 1 119506
4 3 87303
4 6 96465
4 8 9000
4 10 89179
4 12 93521
4 14 229535
4 16 206898
4 18 166058
4 20 81298
4 22 158105
4 24 103859
5 1 199698
5 3 119302
5 6 140474
5 8 215605
5 10 121178
5 12 137530
5 14 262126
5 16 287090
5 18 126835
5 21 189860
5 23 189090
5 25 300040
6 3 21172
6 5 140474
6 8 105465
6 10 23048
6 12 27390
6 15 48673
6 17 56781
6 19 269148
6 21 91730
6 23 78950
6 25 170638
7 2 37543
7 4 155074
7 6 72123
7 9 236482
7 11 117067
7 13 36125
7 15 95272
7 17 96977
7 19 315747
7 22 71550
7 24 96337
8 1 128506
8 3 96303
8 5 215605
8 7 164074
8 10 98179
8 12 102521
8 15 123804
8 17 131912
8 19 344279
8 22 167105
8 24 112859
9 1 301137
9 3 203909
9 5 323211
9 7 236482
9 10 202033
9 12 222137
9 15 222161
9 18 294188
9 20 209914
9 22 193276
9 24 232422
10 2 32104
10 4 89179
10 6 23048
10 8 98179
10 11 132123
10 13 46668
10 16 186496
10 18 97265
10 20 7881
10 22 84688
10 24 30389
11 1 226883
11 3 130247
11 5 249549
11 7 117067
11 9 119415
11 12 147883
11 14 12577
11 16 314275
11 18 225097
11 21 59689
11 23 86885
11 25 234010
12 2 48456
12 4 93521
12 6 27390
12 8 102521
12 10 20104
12 13 63020
12 15 45729
12 17 53837
12 19 266204
12 21 88786
12 23 76006
12 25 198028
13 2 73668
13 4 132095
13 7 36125
13 11 119998
13 14 132575
13 16 229412
13 18 140234
13 20 50797
13 22 74481
13 24 73358
14 1 239460
14 3 142824
14 5 262126
14 7 129644
14 9 110933
14 11 12577
14 13 132575
14 16 326852
14 18 227744
14 20 148237
14 23 99462
14 25 246587
15 2 57729
15 4 114804
15 6 48673
15 8 123804
15 11 102746
15 13 72293
15 16 212121
15 18 122943
15 21 43057
15 23 70253
15 25 217378
16 2 214848
16 4 206898
16 6 193782
16 8 215898
16 10 186496
16 12 166392
16 14 326852
16 17 220229
16 19 370798
16 21 255178
16 23 242398
16 25 364420
17 2 65837
17 4 122912
17 6 56781
17 8 131912
17 11 165856
17 13 60852
17 15 63110
17 18 130998
17 21 106167
17 23 105397
17 25 227419
18 2 125670
18 4 166058
18 6 104604
18 8 175058
18 10 97265
18 12 77214
18 14 227744
18 16 243606
18 19 343418
18 21 166000
18 23 153220
18 25 173205
19 2 278204
19 4 335279
19 6 269148
19 8 344279
19 10 249852
19 12 266204
19 14 345615
19 16 370798
19 18 343418
19 21 273349
19 23 300545
19 25 344499
20 2 36233
20 4 81298
20 9 209914
20 12 12223
20 14 148237
20 18 89437
20 21 76563
20 23 63783
20 25 185805
21 2 94921
21 4 157861
21 6 91730
21 8 166861
21 10 72434
21 12 88786
21 14 72266
21 16 255178
21 18 166000
21 20 76563
21 23 27196
21 25 174321
22 2 109093
22 4 158105
22 6 91974
22 8 167105
22 10 84688
22 12 89030
22 15 57229
22 17 118421
22 19 287521
22 21 14172
22 24 99368
23 2 100016
23 4 145081
23 6 78950
23 8 154081
23 10 71664
23 12 76006
23 14 99462
23 16 242398
23 18 153220
23 20 63783
23 22 13024
23 25 147125
24 2 58794
24 4 103859
24 6 37728
24 8 112859
24 10 30389
24 12 10338
24 14 160868
24 16 176730
24 18 66876
24 20 22561
24 22 99368
24 25 208366
25 2 180239
25 4 267103
25 6 170638
25 8 276103
25 11 234010
25 13 178821
25 15 217378
25 17 227419
25 19 344499
25 21 174321
25 23 147125
Case #5: 77
1 3 55292
1 6 349456
1 8 10602
1 10 280329
1 13 452685
2 4 247181
2 6 264759
2 8 433998
2 10 195632
2 12 206854
2 14 201334
3 2 478688
3 5 285949
3 7 216151
3 9 233763
3 12 271857
3 14 277354
4 2 247181
4 5 54442
4 8 262769
4 10 205316
4 14 45847
5 3 285949
5 6 237191
5 8 241259
5 10 168064
5 12 125504
5 14 8595
6 2 264759
6 5 237191
6 9 185251
6 13 267232
7 1 182063
7 3 216151
7 5 69798
7 8 171461
7 10 98266
7 12 55706
7 14 61203
8 2 433998
8 4 262769
8 7 171461
8 10 269727
8 12 227167
8 14 232664
9 2 320877
9 4 73696
9 6 185251
9 8 189073
9 11 287128
9 13 253010
10 1 280329
10 4 205316
10 7 98266
10 9 254378
10 12 153972
10 14 159469
11 2 481241
11 5 288502
11 8 323985
11 10 439376
11 14 279907
12 3 271857
12 6 223099
12 8 227167
12 10 153972
13 1 452685
13 3 486773
13 5 279679
13 7 296371
13 9 253010
13 11 447262
14 2 201334
14 4 45847
14 6 228596
14 8 232664
14 10 159469
Case #6: 119
1 16 264309
1 8 268447
1 25 283974
1 27 180083
1 29 165372
2 17 453006
2 4 246096
2 14 315116
3 18 454690
3 21 468101
3 24 329536
3 13 396395
4 16 161376
4 19 331204
4 21 195853
4 22 542593
4 7 351707
4 9 190987
5 19 265082
5 25 258331
5 10 197327
5 14 180973
6 4 260897
6 24 389623
6 26 348662
6 15 231162
7 4 351707
7 25 284454
7 28 434289
8 16 196347
8 4 223133
8 22 609538
8 9 225958
8 13 159118
9 17 237508
9 19 334029
9 5 273384
9 8 225958
9 15 350743
10 5 197327
10 25 221314
10 14 143956
11 2 340177
11 4 94081
11 23 114331
11 25 86960
11 27 136060
12 22 587140
12 9 120316
12 15 230427
13 17 260838
13 21 71706
13 25 56894
13 12 6656
14 17 240374
14 20 178516
14 23 63801
14 13 122948
15 17 321887
15 20 254221
15 6 231162
15 8 314907
15 9 350743
15 12 230427
16 1 264309
16 4 161376
16 8 196347
16 28 309543
17 16 207897
17 2 453006
17 21 189132
17 26 351683
17 14 240374
18 1 306565
18 19 336311
18 20 328234
18 9 264076
18 27 235248
19 18 336311
19 5 265082
19 9 334029
20 17 297096
20 18 328234
20 4 310462
20 24 239662
20 26 292872
20 14 178516
21 17 189132
21 3 468101
21 24 181167
21 13 71706
22 4 542593
22 8 609538
22 12 587140
23 16 181626
23 11 114331
24 1 352080
24 3 329536
24 21 181167
24 25 309767
24 11 282939
25 5 258331
25 8 216012
25 10 221314
25 12 63550
25 13 56894
26 16 143786
26 18 199852
26 20 292872
26 6 348662
26 11 211081
27 1 180083
27 20 92986
27 7 199132
27 11 136060
28 7 434289
28 11 242248
29 1 165372
29 7 249729
Case #7: 311
1 49 210301
1 36 114716
1 41 160985
1 10 246919
1 47 156229
2 19 24885
2 7 146012
2 8 208206
2 27 208807
2 47 141735
3 32 279187
3 33 324044
3 4 213577
3 25 382898
3 15 148383
4 1 156187
4 35 111169
4 5 222426
4 39 238486
4 9 89989
4 45 160720
4 15 108140
4 49 194792
4 27 131510
5 48 213194
5 4 222426
5 38 205535
5 25 245042
6 33 208951
6 35 173359
6 38 222932
6 11 196767
6 13 191765
6 22 154304
6 28 293463
6 30 155593
7 2 146012
7 19 137453
7 23 192279
7 44 271184
7 15 150064
8 2 208206
8 22 177718
8 27 207278
8 47 66471
9 48 152545
9 18 42945
9 37 80850
9 24 30784
9 10 83660
9 47 117565
10 33 282770
10 36 189329
10 40 273186
10 11 209375
10 46 249618
10 49 140087
10 25 165581
10 28 228941
11 48 31710
11 20 213321
11 22 224312
11 10 209375
11 28 158142
11 31 247478
12 17 231430
12 19 133607
12 37 117235
12 24 167301
12 11 208245
13 33 274754
13 6 191765
13 42 167242
13 15 51737
13 18 180604
13 20 282422
13 26 182927
14 18 213861
14 4 197977
14 20 304991
14 8 206247
14 27 280583
15 34 222527
15 36 8933
15 7 150064
15 50 161316
15 25 276063
15 27 205547
15 31 203854
16 49 78736
16 4 158655
16 23 150098
16 43 129477
17 19 137831
17 22 172861
17 43 130367
17 47 95815
18 34 121423
18 6 167074
18 7 282841
18 40 232471
18 12 234232
18 13 180604
18 20 325725
18 24 73729
18 26 206377
19 17 137831
19 36 20004
19 7 137453
19 13 39126
19 15 28937
19 31 191243
20 33 376072
20 39 264482
20 8 231686
20 11 213321
20 12 283738
20 14 304991
20 22 259774
20 27 245062
20 29 246287
21 16 130176
21 17 129668
21 37 96646
21 24 146571
21 44 182979
21 14 264789
22 38 82257
22 8 177718
22 11 224312
22 48 192602
22 18 159049
22 23 45745
22 31 23166
23 34 115043
23 38 128002
23 41 149691
23 47 144935
23 16 150098
23 20 305519
23 26 102853
23 30 182317
24 33 168326
24 21 146571
24 10 114444
24 28 228437
24 29 186437
25 32 235124
25 3 382898
25 5 245042
25 8 231134
25 10 165581
25 46 195537
25 18 214515
26 50 126619
26 35 96538
26 6 211412
26 10 233598
26 13 182927
26 15 200002
27 4 131510
27 21 208455
27 8 207278
27 43 209154
27 14 280583
28 20 55179
28 6 293463
28 40 334234
28 10 228941
28 47 162427
29 35 131127
29 4 135803
29 38 252814
29 42 186114
29 44 232814
29 19 56600
29 21 49835
29 24 186437
29 30 185757
30 6 155593
30 43 145192
30 29 185757
30 31 159738
31 32 54022
31 3 310689
31 8 154552
31 43 183779
31 46 133720
31 48 215768
31 19 191243
31 23 68911
31 30 159738
32 3 279187
32 21 152976
32 41 73090
32 43 152277
32 31 54022
33 4 215473
33 37 206334
33 6 208951
33 39 235525
33 10 282770
33 13 274754
34 36 213594
34 42 180012
34 46 216889
34 48 251311
34 18 121423
34 22 69298
35 4 111169
35 38 121687
35 39 141590
35 13 113653
35 48 148822
35 23 146887
35 29 131127
35 31 124308
36 1 114716
36 18 217108
36 40 149795
36 11 94642
36 14 276630
37 33 206334
37 39 155546
37 9 80850
37 12 117235
37 45 63507
37 19 103411
37 25 178794
37 31 110352
38 4 119693
38 5 205535
38 6 222932
38 40 226761
38 29 252814
38 47 164010
39 34 176007
39 4 238486
39 6 230303
39 13 254128
39 48 273838
39 20 264482
40 48 227768
40 2 178358
40 36 149795
40 20 344728
40 38 226761
40 42 277083
41 32 73090
41 1 160985
41 5 227224
41 9 85191
41 45 155922
42 1 239154
42 34 180012
42 40 277083
42 11 219080
42 13 167242
43 32 152277
43 35 81991
43 39 223581
43 12 126143
43 48 66831
43 17 130367
43 20 252158
43 27 209154
43 30 145192
44 1 80104
44 50 255873
44 36 194820
44 37 211836
44 12 306757
44 45 275343
45 4 160720
45 22 150693
45 26 146089
45 44 275343
46 48 268296
46 5 162909
46 7 303420
46 10 249618
46 31 133720
47 1 156229
47 35 42323
47 39 99267
47 9 117565
47 44 223840
47 17 95815
47 19 131778
47 24 106345
47 30 105665
48 34 251311
48 37 162778
48 39 273838
48 9 152545
48 11 31710
48 46 268296
48 49 100998
48 21 66132
48 23 146857
49 16 78736
49 1 210301
49 35 115896
49 4 194792
49 10 140087
49 31 218269
50 34 177056
50 23 176968
50 41 48378
50 43 139843
50 47 100316
Case #8: Impossible
Case #9: 717
1 2 225478
1 4 107025
1 8 109789
1 10 165865
1 12 114259
1 14 12974
1 17 181282
1 20 77978
1 24 130326
1 27 251619
1 29 143515
1 31 133113
1 33 268619
1 35 180583
1 38 70888
1 41 104204
1 44 150229
1 46 90048
2 4 184272
2 7 68090
2 11 211498
2 17 96242
2 20 160946
2 22 209479
2 24 160971
2 27 257837
2 32 193446
2 37 162534
2 39 219298
2 42 154702
2 45 198729
3 1 156292
3 6 69611
3 9 112221
3 13 195079
3 15 192612
3 20 78314
3 22 157041
3 25 157488
3 27 225977
3 30 180213
3 34 178724
3 36 171589
3 39 216345
3 42 190384
3 44 150186
4 1 107025
4 3 106982
4 6 130830
4 9 88220
4 11 141249
4 13 134699
4 15 132232
4 17 155834
4 20 126028
4 22 96661
4 25 139683
4 27 144594
4 29 175564
4 32 168439
4 35 181531
4 37 78711
4 39 165721
4 42 142112
4 46 113958
5 2 81284
5 6 80703
5 9 123313
5 11 214138
5 13 172131
5 16 238364
5 19 88123
5 22 180133
5 25 148135
5 27 249069
5 30 192169
5 32 203532
5 34 204361
5 38 105859
5 40 101575
5 44 168329
6 3 69611
6 5 80703
6 8 200434
6 13 169205
6 17 132037
6 19 86970
6 21 156444
6 23 84548
6 25 146982
6 27 247916
6 30 138901
6 34 148954
6 36 114780
6 40 142979
6 42 170666
6 44 87626
6 46 159995
7 3 176562
7 6 123668
7 9 81058
7 12 63159
7 15 16050
7 18 114427
7 20 116922
7 22 141389
7 25 183224
7 28 132893
7 33 318127
7 37 168462
7 40 111976
7 42 86612
8 1 109789
8 5 204556
8 7 103500
8 10 173905
8 13 73937
8 16 216403
8 20 187767
8 23 162353
8 26 215670
8 28 125649
8 31 193311
8 35 154175
8 40 192713
8 42 81350
9 1 152270
9 4 88220
9 7 81058
9 10 157621
9 13 160257
9 15 97108
9 17 174647
9 19 129580
9 21 189416
9 24 111521
9 27 232814
9 32 80219
9 35 93311
9 37 157988
9 41 144516
9 44 45016
9 46 201594
10 3 176383
10 5 200836
10 8 173905
10 11 196257
10 13 99968
10 15 159542
10 17 225235
10 20 195429
10 24 92702
10 27 213995
10 31 183283
10 33 299174
10 35 220245
10 38 94977
10 40 200375
10 42 92555
10 45 48528
11 1 77948
11 4 141249
11 8 138146
11 13 96289
11 16 181096
11 20 133760
11 24 164550
11 26 146685
11 28 149983
11 30 21969
11 32 38041
11 34 103565
11 40 128814
11 43 113304
11 46 129579
12 4 118659
12 6 185245
12 9 144217
12 14 120542
12 16 158506
12 18 177586
12 20 135523
12 25 120065
12 29 56905
12 32 74352
12 35 136317
12 38 156594
12 41 106505
12 43 193261
13 1 117476
13 4 134699
13 6 169205
13 9 160257
13 11 96289
13 15 63149
13 17 188801
13 22 94270
13 24 111398
13 27 163206
13 30 74320
13 32 90392
13 36 132147
13 40 124429
13 42 7413
13 44 177903
13 46 107413
14 3 143318
14 5 161633
14 9 165244
14 12 120542
14 15 128364
14 18 196580
14 20 65004
14 23 146767
14 25 130738
14 29 130541
14 34 150549
14 36 154058
14 38 57914
14 43 161120
15 2 84140
15 4 132232
15 8 105006
15 10 159542
15 12 47109
15 14 128364
15 19 147157
15 22 125339
15 25 167174
15 28 116843
15 30 105389
15 34 184667
15 37 184512
15 39 135158
15 42 70562
15 45 114589
16 1 146872
16 5 238364
16 7 156029
16 9 128067
16 11 181096
16 13 174546
16 17 195681
16 19 228518
16 22 136508
16 25 179530
16 28 172546
16 30 202851
16 32 208286
16 34 127745
16 38 204225
16 41 165970
16 43 114449
16 46 153805
17 2 96242
17 5 177526
17 9 174647
17 12 172761
17 16 195681
17 19 203686
17 21 201429
17 24 179135
17 27 285976
17 32 109231
17 34 177299
17 40 175942
17 43 127889
17 46 192958
18 7 114427
18 9 158260
18 12 177586
18 15 130477
18 17 142579
18 21 213287
18 27 284016
18 29 186054
18 31 209046
18 34 204584
18 36 165911
18 39 191462
18 41 178891
18 43 216079
18 45 242289
19 2 169407
19 4 188671
19 6 86970
19 9 129580
19 12 100048
19 15 147157
19 17 203686
19 20 139186
19 22 92010
19 24 165370
19 27 160946
19 29 124873
19 31 157087
19 33 282263
19 36 186429
19 38 188707
19 40 144132
19 43 138035
19 45 135448
20 1 77978
20 3 78314
20 5 96629
20 7 116922
20 9 189524
20 11 133760
20 13 119483
20 17 180888
20 21 152584
20 23 133399
20 25 79174
20 28 168611
20 31 136334
20 33 271840
20 35 148483
20 37 103765
20 40 4946
20 45 156097
21 3 86833
21 6 156444
21 8 210343
21 12 159306
21 15 206415
21 17 201429
21 19 211575
21 22 197857
21 25 218318
21 28 111197
21 30 156533
21 34 189094
21 37 124306
21 40 157530
21 42 135853
21 45 91826
22 1 188270
22 3 157041
22 5 180133
22 7 141389
22 11 118101
22 15 125339
22 17 217040
22 20 195852
22 23 169551
22 25 152022
22 27 68936
22 31 163941
22 34 168403
22 36 139319
22 41 165582
22 44 139865
23 2 131704
23 5 165251
23 8 162353
23 13 152134
23 15 153682
23 19 156197
23 22 169551
23 29 177857
23 32 61742
23 34 159410
23 38 186285
23 43 80400
23 46 145469
24 2 160971
24 6 153292
24 9 111521
24 11 164550
24 14 143300
24 17 179135
24 20 139467
24 22 73360
24 26 127811
24 29 152263
24 31 90581
24 36 101414
24 38 187679
24 40 144413
24 43 97903
24 45 141230
25 2 215980
25 4 139683
25 6 146982
25 8 177962
25 12 120065
25 14 130738
25 16 179530
25 20 79174
25 22 152022
25 26 162376
25 29 133652
25 31 97075
25 34 97878
25 37 146292
25 39 129031
25 41 13560
25 46 67104
26 3 161516
26 5 179831
26 8 215670
26 10 173911
26 14 127927
26 17 100806
26 22 180640
26 25 162376
26 31 208265
26 35 139149
26 40 88148
26 42 194301
26 44 61306
27 1 251619
27 3 225977
27 5 249069
27 7 210325
27 9 232814
27 11 187037
27 13 163206
27 17 285976
27 19 160946
27 22 68936
27 25 161399
27 30 195693
27 32 211765
27 34 114097
27 37 207657
27 41 147839
27 44 187798
27 46 207224
28 3 198030
28 7 132893
28 10 185742
28 15 116843
28 18 209777
28 20 168611
28 24 160735
28 29 126639
28 31 180671
28 34 185133
28 37 125431
28 40 173557
28 43 165050
29 1 143515
29 5 151107
29 8 114802
29 11 94110
29 13 40865
29 15 104014
29 17 225346
29 19 124873
29 22 117234
29 24 152263
29 26 161820
29 30 115185
29 32 116115
29 34 80653
29 36 157246
29 39 144954
29 45 77479
30 1 55979
30 3 180213
30 6 138901
30 11 21969
30 13 74320
30 16 202851
30 19 121797
30 21 156533
30 25 61785
30 28 128014
30 32 16072
30 34 81596
30 37 84507
30 42 81733
30 45 125760
31 1 133113
31 5 208823
31 10 183283
31 13 125980
31 16 132207
31 19 157087
31 22 163941
31 24 90581
31 26 208265
31 28 180671
31 32 93206
31 35 193356
31 39 196877
31 42 118567
32 1 72051
32 4 168439
32 9 80219
32 11 38041
32 13 90392
32 16 208286
32 18 238479
32 20 127863
32 23 61742
32 27 211765
32 30 16072
32 33 228712
32 35 173530
32 37 92572
32 39 103671
32 41 64297
32 43 142142
32 46 123682
33 2 298215
33 4 229773
33 6 195293
33 8 312865
33 10 299174
33 13 238928
33 17 317267
33 20 271840
33 23 279841
33 27 254065
33 29 220621
33 31 135506
33 34 139968
33 39 267554
33 43 304375
34 1 137575
34 5 204361
34 10 187745
34 12 137558
34 15 184667
34 17 177299
34 20 131872
34 22 168403
34 24 95043
34 27 114097
34 29 80653
34 32 97668
34 35 194159
34 39 201339
34 42 114105
34 44 161548
35 1 180583
35 4 181531
35 7 174369
35 9 93311
35 12 136317
35 15 183426
35 18 86801
35 20 148483
35 25 96281
35 29 161142
35 31 193356
35 34 194159
35 37 155343
35 40 153429
35 44 138327
36 3 171589
36 5 195483
36 8 192585
36 10 147514
36 13 132147
36 16 117960
36 19 186429
36 21 123708
36 24 101414
36 28 124833
36 32 91974
36 35 154745
36 39 106518
36 41 133330
36 43 50168
37 2 162534
37 4 78711
37 9 157988
37 15 184512
37 20 103765
37 23 30830
37 25 146292
37 28 125431
37 32 92572
37 35 155343
37 39 107116
37 41 132732
37 44 121915
38 1 70888
38 4 164378
38 6 101737
38 10 94977
38 13 162416
38 15 186278
38 18 140806
38 20 122918
38 24 187679
38 28 171783
38 31 149772
38 36 211972
38 40 119344
38 42 155003
38 44 189363
38 46 134988
39 2 219298
39 4 165721
39 7 151208
39 11 141712
39 15 135158
39 19 109961
39 22 69060
39 25 129031
39 27 137996
39 31 196877
39 33 267554
39 35 104661
39 37 107116
39 41 115471
40 2 165892
40 5 101575
40 7 111976
40 10 200375
40 13 124429
40 16 170821
40 18 136522
40 20 4946
40 23 128453
40 25 84120
40 28 173557
40 32 122917
40 35 153429
40 37 98819
40 39 159764
40 42 117016
40 46 17016
41 4 126123
41 7 169664
41 9 144516
41 11 70194
41 13 122545
41 16 165970
41 19 73572
41 22 165582
41 25 13560
41 27 147839
41 30 48225
41 36 133330
41 38 175092
41 40 76401
41 43 183498
41 45 173985
42 1 110063
42 3 190384
42 5 179544
42 7 86612
42 10 92555
42 13 7413
42 16 181959
42 18 201039
42 21 135853
42 26 194301
42 30 81733
42 32 97805
42 34 114105
42 36 139560
42 39 111502
42 41 129958
42 44 185316
43 6 164948
43 11 113304
43 13 182315
43 15 206834
43 17 127889
43 19 138035
43 24 97903
43 27 219196
43 32 142142
43 34 192946
43 37 50766
43 41 183498
43 45 165366
44 2 194164
44 5 168329
44 9 45016
44 13 177903
44 18 155252
44 21 144400
44 23 114623
44 26 61306
44 30 141307
44 33 258855
44 35 138327
44 38 189363
44 42 185316
45 1 154090
45 4 117929
45 6 126639
45 10 48528
45 12 67480
45 15 114589
45 18 242289
45 20 156097
45 24 141230
45 27 188904
45 30 125760
45 34 158132
45 37 182989
45 40 161043
45 43 165366
46 1 90048
46 3 90384
46 6 159995
46 8 181350
46 10 183359
46 13 107413
46 15 145042
46 17 192958
46 21 164654
46 23 145469
46 25 67104
46 27 207224
46 29 66548
46 32 123682
46 40 17016
46 44 156578
Case #10: 50
1 2 655399
1 38 704041
1 13 414061
2 21 368163
3 1 890596
4 10 847652
5 36 674757
6 44 674811
8 48 763747
10 17 368531
10 4 847652
11 13 689336
11 47 730672
12 35 551402
12 30 267618
13 33 621661
13 11 689336
16 21 435498
16 29 950065
17 10 368531
19 20 906648
19 39 335958
19 28 561606
20 19 906648
21 2 368163
21 22 732286
21 46 529838
22 21 732286
23 49 698707
26 33 919977
26 3 964754
27 23 609756
28 21 870740
30 11 560623
33 41 638285
33 13 621661
34 18 459547
35 12 551402
36 42 842281
38 8 936996
39 19 335958
42 36 842281
43 13 881579
44 35 197016
45 4 684947
46 21 529838
47 11 730672
48 39 678286
48 44 659856
49 23 698707
Case #11: 13
1 2 423233
1 5 476258
2 1 423233
2 4 220180
2 6 167486
3 2 408958
3 5 479226
4 2 220180
4 5 582204
5 2 362024
5 4 582204
6 1 255747
6 3 241472
Case #12: 4
2 3 815808
3 2 815808
4 6 635657
7 2 760733
Case #13: 5
1 3 812597
2 4 608302
3 6 504277
5 7 493516
7 1 590453
Case #14: Impossible
Case #15: 243
1 34 237184
1 4 298467
1 39 195403
1 9 160754
1 10 221481
1 27 298343
2 1 294375
2 38 239167
2 11 258176
2 14 219745
2 21 264204
2 25 219377
2 28 57480
3 7 111319
3 13 164680
3 15 214187
3 18 79432
3 22 274352
3 25 86164
3 29 130786
4 36 246300
4 6 171421
4 39 111658
4 12 167193
4 24 93762
4 27 175147
5 32 71432
5 6 11722
5 40 92926
5 13 38201
5 17 108991
5 22 169980
5 29 141415
6 33 40607
6 4 171421
6 37 32735
6 7 110226
6 40 104648
6 11 55445
6 14 153644
6 18 131822
6 24 77659
6 31 106128
7 1 266270
7 35 259788
7 6 110226
7 12 134996
7 14 104907
7 25 106543
7 28 180244
8 2 187080
8 7 162749
8 12 77535
8 16 58562
8 19 60205
8 22 232812
8 30 124486
9 17 125423
9 3 142911
9 36 168111
9 22 153548
9 11 50735
9 15 127009
10 34 130021
10 8 12672
10 27 195784
11 32 15291
11 2 258176
11 4 149167
11 6 55445
11 17 176158
11 26 174930
11 29 107439
12 33 15837
12 2 177961
12 4 167193
12 8 77535
12 13 51249
12 31 130898
13 5 38201
13 7 158494
13 40 111978
13 14 180123
13 19 33919
13 25 122841
14 2 219745
14 37 162935
14 6 153644
14 7 104907
14 13 180123
14 16 182497
14 27 223713
15 34 172470
15 20 204755
15 39 161658
15 9 127009
15 14 252499
16 35 337627
16 37 140657
16 8 58562
16 13 84848
16 15 88339
16 20 190468
16 25 128578
16 30 183048
17 2 167422
17 5 108991
17 39 160072
17 8 173478
17 9 125423
17 12 95943
17 18 181254
17 27 171390
17 29 232608
18 3 79432
18 6 131822
18 24 130928
18 27 284364
18 29 126024
19 6 14349
19 22 172607
19 24 92008
19 26 115915
19 28 143161
20 16 190468
20 37 115191
20 22 306184
20 25 164572
20 15 204755
21 2 264204
21 38 64617
21 24 93593
21 28 206724
22 1 314302
22 36 321659
22 8 232812
22 17 278971
22 19 172607
22 23 193644
22 31 167131
23 3 173587
23 21 154786
23 25 109959
24 32 40114
24 4 93762
24 6 77659
24 10 164885
24 18 130928
24 20 210136
24 27 268909
24 29 52034
25 1 192737
25 3 86164
25 7 106543
25 9 69863
25 13 122841
25 20 164572
25 23 109959
25 29 78880
26 18 177316
26 3 182995
26 37 97134
26 38 173077
26 11 174930
27 32 266409
27 1 298343
27 18 284364
27 4 175147
27 24 268909
27 14 223713
28 2 57480
28 40 189779
28 11 206046
