100
53 90
48 11 30
60 22 43
33 25 43
60 54 43
3 1 43
23 21 30
53 21 43
9 17 43
55 7 43
54 43 43
38 43 43
6 29 30
39 35 30
40 32 35
2 9 43
4 23 30
49 60 43
34 37 30
48 42 34
42 14 34
20 39 30
8 34 34
2 28 43
43 48 43
2 44 43
4 35 30
18 2 43
37 60 43
38 45 30
44 50 30
3 2 43
43 28 43
14 9 43
39 38 34
16 11 30
27 44 43
9 40 43
44 45 30
47 15 30
56 16 43
49 37 30
4 50 30
46 29 43
55 1 43
37 22 43
23 26 30
53 47 43
57 39 34
36 17 43
54 18 30
25 16 30
42 48 34
11 38 30
10 54 43
17 54 43
19 42 30
53 30 43
3 46 3
28 5 43
52 51 30
56 14 43
8 28 43
40 55 30
17 34 43
38 43 43
47 20 20
13 28 43
18 1 43
32 8 30
53 17 43
13 24 43
27 57 43
55 21 30
29 21 34
40 60 43
45 5 30
58 27 27
32 38 30
33 32 43
37 16 30
39 14 34
3 16 30
23 21 30
50 16 30
3 48 30
22 19 43
52 34 30
2 4 43
24 35 43
38 52 30
31 53 43
24 14 43
29 2 43
58 8 43
34 80
33 29 30
7 4 4
30 15 30
12 14 30
1 10 30
18 30 30
28 29 30
24 29 30
6 15 30
15 27 27
10 13 30
29 5 27
18 34 28
20 27 30
28 2 30
5 26 27
25 11 30
19 28 30
22 23 30
29 32 27
1 18 30
3 22 28
29 32 27
9 21 28
15 26 27
11 24 8
23 9 30
18 6 30
22 4 30
1 30 30
3 32 30
3 28 28
1 13 1
4 17 30
32 4 27
13 21 30
32 27 27
17 1 30
23 20 30
9 26 30
4 7 4
21 13 30
26 18 30
2 25 27
12 21 30
14 19 1
17 19 30
11 5 30
5 32 32
23 7 30
29 11 30
24 23 30
11 30 30
4 10 30
8 1 30
21 8 21
17 9 28
3 27 30
9 32 30
4 21 30
3 9 28
6 12 30
1 6 30
27 1 30
20 6 30
13 33 1
16 17 30
19 1 1
19 28 30
11 23 30
9 7 30
24 31 30
31 15 30
20 13 30
12 8 30
5 28 30
24 4 30
1 7 30
14 19 1
22 6 30
30 55
7 8 19
20 21 29
11 20 29
19 30 19
19 8 19
22 5 19
10 28 10
15 25 19
17 11 29
5 24 19
6 2 29
5 16 29
1 6 10
16 2 29
30 17 29
8 9 8
24 1 29
22 2 19
10 9 29
3 27 29
2 17 29
16 15 29
4 20 4
7 11 19
26 20 29
26 8 19
14 11 19
29 19 29
23 18 19
22 11 22
23 5 23
27 8 29
1 3 29
13 8 19
2 7 19
9 10 29
16 5 29
23 4 29
23 2 2
15 7 19
7 1 29
7 16 29
11 13 22
28 3 29
23 25 19
10 6 10
28 6 6
17 26 29
14 1 29
5 28 29
29 27 29
7 2 19
18 21 19
3 1 29
16 30 29
60 120
55 42 25
45 22 25
46 6 4
1 11 25
30 33 25
35 5 25
25 20 25
25 23 25
43 51 4
37 58 9
34 49 9
19 34 45
27 6 4
35 48 4
47 36 25
17 30 25
1 59 25
23 21 25
49 48 4
60 6 4
58 8 4
51 47 25
17 5 17
8 50 4
32 19 4
56 25 25
17 25 25
3 10 25
34 57 9
17 45 25
60 26 25
13 27 25
31 20 4
26 24 25
42 35 4
46 4 4
8 27 4
21 9 25
12 30 4
60 35 35
2 60 4
32 6 32
52 58 9
38 19 25
34 14 25
29 47 25
7 57 7
5 38 17
54 56 4
12 4 4
29 30 4
29 35 4
53 3 25
47 22 25
41 54 25
52 24 4
11 44 25
16 38 17
43 9 9
37 4 4
56 18 25
46 36 36
43 13 25
30 13 25
4 10 4
27 29 9
46 14 25
53 42 25
33 2 25
58 60 4
33 15 25
9 41 25
42 1 4
49 23 9
47 43 25
9 57 9
17 60 25
8 58 4
23 52 9
7 4 4
48 35 4
51 34 4
42 48 4
25 21 25
31 51 4
13 39 25
13 53 13
27 21 25
54 42 4
38 40 55
59 42 25
44 56 4
53 30 25
41 8 25
28 22 25
5 11 25
16 17 17
11 3 25
50 59 25
25 33 25
38 2 25
4 59 25
1 19 4
32 50 4
54 13 25
9 52 9
3 39 25
26 46 25
28 42 25
18 48 25
7 2 2
41 6 25
32 4 4
22 35 25
28 20 25
7 3 25
47 58 25
21 34 25
8 20 8
51 5 25
35 75
1 17 6
15 12 6
12 23 6
11 3 6
1 25 7
34 25 6
32 35 20
28 19 6
12 30 20
29 35 6
17 27 6
28 32 20
14 25 26
6 5 6
10 25 6
9 21 6
15 3 6
1 9 7
1 3 1
13 1 7
7 24 7
22 8 20
31 27 20
18 1 35
28 7 20
10 3 32
1 12 7
1 5 20
5 30 20
7 26 6
24 29 6
10 15 10
19 9 6
22 17 6
17 32 6
8 31 20
14 29 6
35 10 6
34 11 6
25 30 20
1 28 20
20 6 6
21 13 6
17 12 6
35 23 6
4 15 6
32 9 20
14 21 6
10 21 6
32 13 20
34 20 6
5 15 6
21 22 6
6 9 6
20 30 20
26 21 26
34 23 34
19 18 6
7 10 6
31 12 13
2 21 6
20 33 33
9 35 7
17 10 6
29 13 6
10 19 6
29 17 6
6 26 6
33 32 30
25 30 20
31 3 7
14 21 6
9 29 6
28 14 28
30 3 20
20 102
13 2 2
1 17 5
8 9 5
17 1 5
1 3 12
1 18 18
17 15 5
14 12 5
17 1 5
20 19 5
11 15 5
3 7 7
12 5 5
13 1 12
15 12 12
18 11 5
8 18 18
16 13 5
11 10 5
19 6 5
16 14 19
12 3 12
9 19 19
6 19 5
5 7 5
1 20 12
13 3 2
8 3 12
11 1 5
20 15 12
3 1 12
4 13 5
18 6 18
1 16 5
11 10 5
10 5 5
19 1 5
11 18 5
1 19 5
4 3 5
15 20 12
18 5 5
19 1 5
3 10 12
16 1 5
4 11 19
8 20 12
6 12 12
13 15 12
20 15 12
6 9 5
5 13 5
4 19 19
19 6 5
11 16 17
20 1 12
9 17 17
2 17 5
7 14 5
12 16 5
9 10 5
9 16 17
16 19 19
14 4 4
10 11 5
12 7 12
20 7 2
16 7 5
15 6 12
1 9 5
17 20 5
11 10 5
10 16 5
1 18 18
15 7 12
1 17 5
16 13 5
12 17 5
11 2 5
16 10 5
3 8 12
5 13 5
2 19 5
17 20 5
1 10 10
15 19 5
19 7 5
12 7 12
6 7 7
3 17 5
3 16 5
17 14 19
15 5 5
5 14 5
1 19 5
13 2 2
8 15 10
10 6 12
1 3 12
2 5 5
20 16 5
20 18 18
13 63
11 1 11
11 4 11
10 8 3
5 7 5
11 1 11
5 2 5
10 12 11
7 2 3
5 2 5
11 13 11
10 9 5
6 7 6
2 10 3
4 11 11
3 8 3
13 6 6
12 2 11
8 2 2
8 2 2
7 5 5
7 4 3
5 2 5
8 5 5
6 1 5
10 11 11
11 3 11
4 6 6
1 13 5
4 12 11
10 8 3
1 12 11
6 7 6
4 9 5
12 5 11
8 2 2
13 5 5
8 12 11
7 5 5
3 7 3
7 9 5
1 11 11
7 9 5
5 9 5
10 6 6
4 8 13
10 4 3
5 13 5
13 12 11
7 9 5
10 8 3
12 4 11
12 2 11
12 1 11
6 3 6
5 11 11
6 7 6
11 1 11
12 8 11
1 9 1
10 5 5
8 5 5
4 9 5
7 11 11
58 26
21 16 8
1 50 47
51 25 44
7 25 41
57 19 8
58 42 47
27 30 8
41 42 47
38 18 38
41 10 41
20 22 8
46 4 44
5 11 47
41 32 8
41 5 44
8 19 8
33 38 47
10 4 8
53 7 53
51 54 44
29 19 47
49 42 47
14 35 47
7 21 8
12 28 7
30 5 44
48 39
47 40 37
8 26 38
38 14 22
13 25 22
3 6 22
34 39 22
24 12 22
43 46 22
27 41 22
16 20 16
2 30 22
40 7 22
45 42 22
6 12 12
26 17 22
42 9 15
24 21 22
43 36 44
46 11 22
48 28 22
9 33 22
3 37 16
15 13 38
41 10 22
26 39 22
25 5 9
45 44 22
34 9 22
32 47 16
45 12 45
44 3 22
48 17 22
31 30 22
33 34 22
40 18 16
25 38 22
40 24 37
34 42 22
19 4 22
33 14
12 7 25
15 31 19
17 6 19
4 28 19
4 12 19
22 33 25
17 33 19
32 18 25
21 14 25
31 32 28
4 15 19
10 20 25
6 9 19
24 16 24
6 100
3 6 3
5 4 6
3 5 3
3 1 3
1 4 4
3 2 3
2 5 2
3 2 3
5 6 6
6 2 6
1 3 3
5 2 2
2 4 6
6 5 6
3 2 3
5 1 6
6 5 6
6 1 6
6 3 3
5 4 6
6 5 6
2 1 6
6 5 6
4 6 6
5 2 2
4 3 3
1 2 6
5 4 6
5 2 2
1 2 6
6 1 6
5 6 6
1 5 6
4 3 3
1 2 6
4 6 6
6 5 6
3 2 3
1 5 6
5 3 3
4 2 6
3 4 3
1 6 6
2 1 6
2 1 6
3 1 3
5 3 3
1 5 6
1 2 6
1 3 3
3 2 3
3 4 3
5 1 6
1 4 4
4 5 6
3 1 3
1 2 6
3 4 3
4 2 6
5 4 6
2 4 6
5 3 3
5 4 6
3 6 3
6 3 3
5 2 2
5 2 2
5 1 6
3 1 3
6 3 3
5 3 3
2 6 6
1 2 6
4 1 4
1 5 6
3 5 3
1 3 3
5 3 3
6 5 6
4 2 6
3 4 3
3 1 3
2 5 2
5 2 2
2 1 6
3 2 3
5 6 6
1 2 6
6 1 6
1 3 3
1 4 4
2 3 3
4 6 6
3 2 3
4 3 3
1 5 6
4 2 6
5 2 2
1 3 3
3 6 3
11 99
7 1 10
4 9 9
1 6 6
9 4 9
3 11 7
4 2 10
5 4 10
11 10 10
10 2 10
3 1 10
1 4 10
7 11 7
8 6 10
7 9 7
6 3 10
6 7 10
4 1 10
4 3 7
3 4 7
11 4 4
1 11 10
6 4 10
10 2 10
5 10 10
11 8 7
3 4 7
10 4 10
1 11 10
6 7 10
9 4 9
7 3 7
7 8 7
5 11 10
7 11 7
5 10 10
11 4 4
5 2 5
11 4 4
11 7 7
8 11 7
1 3 10
7 10 10
5 10 10
1 10 10
3 1 10
6 1 6
8 5 10
11 10 10
3 1 10
4 10 10
3 5 10
3 7 7
8 10 10
6 3 10
1 4 10
6 1 6
10 11 10
9 2 10
4 5 10
7 10 10
3 4 7
4 7 7
6 1 6
10 8 10
3 7 7
6 3 10
7 5 10
4 9 9
5 3 10
3 7 7
2 1 1
4 9 9
7 9 7
11 4 4
4 5 10
5 3 10
6 11 10
1 5 5
5 7 10
5 1 5
9 4 9
9 7 7
1 7 10
3 8 7
2 4 10
1 2 1
11 2 10
9 6 10
9 11 9
3 11 7
11 10 10
3 4 7
3 6 10
6 9 10
10 9 10
7 1 10
5 7 10
4 2 10
11 3 7
60 120
5 14 14
23 11 14
56 26 14
17 48 14
20 36 14
59 34 14
50 11 50
44 29 14
52 56 14
52 23 14
51 56 14
12 10 1
47 5 14
16 41 1
43 28 14
3 35 7
47 32 4
7 5 14
55 25 14
19 4 4
31 2 45
18 36 14
3 31 14
3 38 7
30 6 7
20 39 14
60 38 4
17 6 14
1 7 14
52 5 14
41 27 1
28 52 14
12 8 53
16 31 53
53 11 14
18 20 1
41 29 14
38 19 4
7 21 14
34 11 7
30 23 14
21 35 14
27 19 14
3 22 7
46 20 14
24 29 14
26 44 14
26 53 14
16 54 14
5 58 14
10 26 14
18 60 14
34 7 7
15 29 14
17 53 53
42 52 14
45 19 14
31 35 14
54 21 14
13 34 14
6 10 14
21 58 14
38 52 7
48 54 7
30 54 7
43 40 7
30 40 7
55 56 1
24 2 1
12 27 53
50 23 14
43 5 14
31 20 1
10 44 14
30 2 14
40 58 7
52 47 7
27 2 53
53 49 14
31 51 14
55 24 1
54 27 14
16 4 14
16 8 53
26 20 14
54 22 7
50 16 14
32 19 4
3 55 14
37 32 14
58 25 4
51 19 14
45 6 14
5 31 14
34 48 7
18 24 1
43 13 14
57 41 14
12 30 14
17 25 14
58 60 4
48 41 14
56 2 1
34 60 4
58 13 14
32 41 14
28 10 1
47 31 14
21 47 14
44 31 14
29 22 14
27 54 14
5 11 14
5 24 14
16 42 53
24 45 1
29 6 14
35 59 14
45 47 14
60 30 4
12 9
1 5 7
11 2 6
9 4 12
8 12 6
10 1 7
4 3 12
3 10 6
8 11 8
2 5 10
52 29
13 14 43
14 1 10
26 49 43
7 11 43
36 10 10
13 35 34
2 24 34
25 43 43
7 26 7
35 47 3
4 50 4
52 20 43
21 25 43
43 38 43
33 40 20
14 17 43
28 24 34
13 9 43
36 3 43
39 37 31
43 16 43
17 38 34
1 30 43
16 1 43
8 49 43
27 49 43
8 2 43
16 9 43
17 43 43
10 78
5 10 5
4 2 9
4 5 9
1 7 8
7 8 8
3 9 8
4 10 8
3 9 8
9 6 8
1 3 8
10 3 10
3 2 8
9 4 9
10 4 8
1 7 8
8 10 8
7 2 8
2 3 8
7 10 8
2 8 8
7 2 8
4 1 9
6 8 8
6 3 8
10 7 8
5 7 8
9 1 9
5 9 8
9 10 8
6 5 8
10 3 10
5 8 8
10 2 8
10 1 3
4 8 8
3 2 8
8 4 8
8 7 8
6 8 8
5 6 8
3 7 8
4 8 8
2 1 1
5 8 8
1 6 8
2 6 8
3 4 8
6 4 3
10 7 8
6 4 8
1 5 8
1 9 9
3 8 8
10 4 8
6 1 8
10 8 8
2 10 8
4 5 8
4 7 8
10 6 8
7 5 8
6 2 8
2 6 8
3 2 8
9 2 9
9 5 8
4 3 8
10 6 8
10 4 8
9 1 9
4 6 8
4 6 8
4 6 8
10 9 8
8 6 8
3 6 8
10 3 10
4 8 8
58 67
31 26 40
34 24 57
52 37 47
56 55 40
44 47 47
21 20 57
27 47 57
10 17 17
44 19 40
35 26 40
43 33 33
6 21 15
5 28 57
24 29 40
26 7 40
8 25 47
57 15 57
55 41 40
14 4 57
40 14 40
56 33 40
49 28 57
39 8 47
25 8 47
53 30 57
38 25 47
58 37 47
7 55 11
33 46 33
53 47 57
20 11 57
45 1 57
49 22 38
43 50 2
21 49 57
8 55 40
9 32 47
9 47 47
33 36 40
50 18 40
38 56 57
15 17 15
15 38 9
4 19 40
32 44 47
41 27 40
51 9 57
2 15 40
18 25 47
21 54 57
44 26 40
57 4 57
57 13 40
44 41 40
12 8 47
32 1 47
33 55 33
10 5 57
44 11 57
39 9 39
57 47 57
48 10 57
8 19 40
10 34 5
3 56 57
57 7 12
44 41 40
39 71
32 27 27
26 4 27
37 22 37
35 29 27
36 24 27
15 11 27
30 4 27
26 30 32
26 14 32
18 30 27
16 28 27
31 28 27
1 32 27
26 35 34
10 29 27
31 10 27
35 1 27
35 4 27
37 16 27
34 6 27
4 8 27
14 24 34
4 12 27
8 19 39
11 37 27
17 30 27
4 29 17
17 13 27
16 27 27
27 30 27
34 28 27
34 8 27
10 20 27
27 13 27
33 8 27
11 10 27
32 20 27
35 12 27
7 30 27
34 10 27
37 11 27
36 13 27
24 25 27
2 30 27
5 28 27
27 5 27
10 9 27
17 5 17
6 11 27
22 25 27
31 6 6
27 14 1
16 32 27
6 26 27
28 16 27
2 33 17
9 15 27
31 3 27
9 7 27
20 5 5
1 11 27
25 22 27
21 35 27
25 33 21
19 12 12
31 26 27
27 17 27
35 22 27
17 31 17
27 19 27
17 33 17
11 78
1 2 8
5 7 8
2 6 2
3 9 8
3 9 8
5 7 8
3 7 8
10 9 9
7 5 8
8 7 8
5 9 8
9 6 6
11 9 8
11 2 8
9 6 6
7 4 8
5 6 8
1 2 8
2 10 2
3 1 8
11 3 4
6 9 6
3 5 8
10 6 6
7 1 8
11 1 8
8 10 8
7 10 6
4 5 8
9 11 8
1 4 8
9 7 6
1 2 8
11 8 8
4 10 8
1 10 8
1 8 8
10 7 6
5 1 1
5 7 8
9 1 8
6 8 8
5 10 8
11 1 8
7 11 8
2 3 8
2 4 8
8 1 8
10 9 9
6 10 6
2 6 2
6 8 8
9 11 8
1 5 1
2 9 2
8 3 8
6 1 8
11 5 8
8 7 8
6 7 6
7 9 6
2 7 2
10 9 9
3 7 8
5 10 8
7 3 8
7 4 8
1 2 8
7 10 6
1 4 1
7 8 8
4 10 8
2 5 8
4 2 8
4 3 4
11 10 8
8 5 8
7 6 6
39 73
39 12 35
35 21 35
17 11 35
28 18 30
28 4 35
10 23 35
15 2 2
9 20 10
2 8 3
5 13 35
35 12 35
7 22 2
32 7 2
21 9 35
2 1 35
26 21 2
1 33 35
30 27 35
1 35 35
12 26 35
7 33 2
24 11 35
33 5 35
30 28 30
6 23 35
22 21 2
12 36 35
32 5 35
32 18 2
12 28 35
31 17 2
10 21 35
24 15 3
7 37 35
7 9 35
8 1 35
29 16 10
21 37 35
16 4 35
7 27 35
11 28 35
32 19 35
3 14 3
10 4 35
8 26 3
8 17 3
22 31 31
6 32 35
33 30 30
38 35 35
30 1 35
12 5 12
28 23 30
13 19 13
15 12 35
33 5 35
11 8 35
14 6 35
34 36 2
38 22 2
26 14 2
21 6 35
11 26 35
29 14 35
28 30 30
12 29 12
26 7 26
14 26 2
39 19 35
26 1 35
8 7 3
27 19 35
22 13 35
60 120
14 31 47
42 55 6
22 26 47
6 32 15
29 49 47
57 15 15
48 41 47
35 44 15
20 40 39
56 25 37
38 49 15
28 51 15
39 56 15
7 13 47
10 56 15
37 10 15
33 28 47
11 41 11
31 15 15
8 48 47
48 49 47
56 54 15
19 42 47
32 11 47
31 10 15
47 1 47
53 45 15
30 27 15
12 38 15
28 3 15
43 25 15
46 17 47
52 11 47
40 15 15
17 58 17
25 40 15
53 7 53
27 23 47
23 10 47
4 6 47
59 38 47
2 10 15
42 59 47
23 47 47
57 13 47
56 30 15
58 41 47
54 48 47
45 16 15
56 58 15
56 60 60
46 24 46
19 52 47
37 36 6
57 5 55
35 54 35
44 9 47
3 31 15
4 53 47
15 40 15
12 28 37
56 5 37
58 27 15
25 32 15
59 8 47
7 5 28
60 25 37
33 18 47
38 8 47
45 30 39
3 42 15
26 55 47
18 6 15
43 9 47
46 17 47
50 30 15
59 1 47
38 13 47
3 19 47
35 41 47
26 55 47
25 13 47
6 4 47
16 52 6
51 26 47
57 12 37
51 50 15
11 60 47
30 26 47
1 57 15
12 16 37
42 49 15
47 29 47
22 60 37
12 2 6
58 43 58
8 54 47
34 20 15
57 3 15
27 10 15
25 20 15
2 21 47
4 27 47
46 40 47
54 22 15
1 36 15
25 43 15
60 13 47
10 57 15
9 25 47
25 30 15
52 7 6
4 33 47
55 49 15
48 10 47
34 27 55
42 43 15
29 30 47
24 36 47
28 58 15
38 98
4 37 9
37 7 9
2 37 9
8 7 9
23 10 23
21 12 9
11 27 9
9 17 9
16 25 31
31 8 9
26 18 9
27 33 9
17 25 9
4 29 31
11 33 9
10 17 14
16 19 9
4 25 31
28 19 14
16 25 31
7 4 4
11 4 9
22 32 3
29 24 9
35 25 9
2 12 12
12 38 31
29 4 31
37 35 14
21 28 21
26 33 9
4 2 12
29 17 9
34 11 9
30 5 21
24 2 9
38 34 9
14 34 14
36 13 9
7 35 9
4 23 9
16 38 31
21 1 21
11 36 9
29 32 9
15 11 9
19 20 9
14 1 14
21 4 9
28 18 9
26 22 26
14 20 9
23 6 9
25 7 31
6 37 9
27 35 14
6 18 9
16 12 12
24 22 3
37 16 9
21 4 9
34 17 14
22 26 26
1 35 14
6 27 9
10 26 26
23 33 9
16 3 9
22 3 3
6 36 9
10 2 9
11 12 9
29 33 25
36 16 12
35 26 14
11 12 9
30 20 9
33 35 9
23 7 9
11 30 9
9 29 9
37 15 3
31 32 9
36 33 31
28 32 21
17 4 9
23 27 23
20 16 9
33 35 9
19 21 14
15 1 26
25 17 9
24 26 26
22 27 3
30 28 21
7 3 9
29 26 9
5 33 9
51 85
33 47 11
19 35 19
12 51 51
16 9 11
16 21 11
39 13 11
38 22 9
22 6 11
37 6 11
27 32 11
43 44 11
12 44 11
12 30 11
31 40 11
3 25 11
19 33 15
3 31 11
41 31 11
48 49 41
7 24 11
48 11 11
3 43 11
10 14 11
37 24 11
45 44 3
46 13 11
13 31 11
22 2 11
16 14 11
45 9 9
10 38 11
40 2 11
18 22 11
21 38 41
34 6 11
14 26 15
45 14 11
26 42 15
15 20 11
31 16 8
17 19 11
5 3 11
39 33 11
1 43 11
26 15 15
9 27 9
34 5 11
16 19 11
34 15 11
33 5 11
49 34 41
2 48 11
43 32 15
31 8 8
48 45 9
35 48 11
8 5 11
17 44 3
31 19 11
25 4 15
48 41 41
31 41 11
20 10 11
13 33 11
7 43 11
39 44 11
3 45 3
13 40 11
34 43 11
49 41 41
12 41 11
16 49 11
26 24 26
28 26 11
5 40 11
5 17 11
28 40 11
51 17 11
17 50 11
39 45 11
42 9 11
14 1 11
50 25 15
40 39 11
43 3 11
31 88
4 18 28
9 8 6
20 22 28
27 29 28
16 3 11
26 14 28
25 12 28
28 21 28
19 10 28
26 18 28
17 23 28
25 16 25
24 9 6
26 1 28
21 28 28
20 9 28
4 7 28
24 25 28
9 24 6
27 18 28
8 9 6
24 8 6
26 2 28
17 25 15
19 20 20
14 21 6
22 20 28
9 23 6
11 27 11
6 23 6
19 29 28
18 22 6
22 18 6
20 3 11
15 14 28
17 3 15
31 29 6
17 3 15
12 10 28
14 29 14
10 20 28
16 8 28
13 18 28
5 25 28
16 18 28
7 14 6
16 28 28
11 4 28
5 19 28
7 18 18
14 4 28
2 20 28
9 26 28
10 9 28
24 21 24
18 30 28
10 18 28
12 22 29
8 5 28
4 18 28
2 11 28
29 19 28
30 15 28
7 21 6
5 12 28
22 31 6
27 7 28
10 11 28
13 20 15
19 21 28
31 18 6
27 21 28
26 16 28
13 18 28
1 9 6
27 23 28
1 12 14
24 1 6
6 20 28
26 12 28
8 26 28
8 4 28
8 13 28
6 5 28
3 14 28
31 11 28
28 15 28
8 22 6
34 70
2 16 34
11 6 34
9 30 10
16 12 10
5 16 10
34 22 10
29 20 29
18 34 34
29 19 10
30 3 10
23 29 10
7 8 10
33 31 10
4 20 17
19 17 10
31 6 10
20 31 10
4 3 5
21 18 10
6 5 10
19 15 10
4 7 34
2 24 34
27 7 32
7 12 10
14 24 31
5 23 10
4 26 10
12 5 10
23 24 10
24 3 34
12 2 10
16 24 16
7 4 34
14 12 10
1 15 10
17 29 10
1 3 10
5 16 10
1 12 10
12 30 10
34 6 34
7 15 10
4 31 10
17 24 34
20 3 10
33 24 34
27 19 10
10 2 10
21 20 21
18 23 14
1 29 29
10 26 10
6 20 10
13 33 10
23 13 10
9 23 10
4 34 34
10 21 10
6 3 34
2 34 34
5 17 10
12 31 10
26 33 10
18 25 31
30 24 10
6 34 34
13 4 10
34 33 34
1 24 10
34 78
19 13 3
7 13 3
29 9 3
16 32 3
16 20 20
23 28 3
27 15 15
34 22 31
17 1 20
31 8 31
19 1 3
34 12 3
23 11 3
12 5 3
18 30 31
6 12 3
24 14 3
25 5 3
12 16 3
15 26 31
15 8 15
23 24 3
33 26 31
9 8 8
34 5 31
28 21 16
14 20 3
8 15 15
21 7 3
5 27 27
5 17 20
34 32 3
18 1 21
21 10 3
29 25 3
12 26 23
18 31 31
5 4 3
31 20 20
29 16 3
19 23 3
25 30 3
10 32 3
10 5 3
14 3 3
3 29 3
6 34 3
23 10 3
26 21 31
21 2 3
28 7 3
33 19 3
32 10 3
19 17 3
30 1 31
17 3 3
16 30 31
18 10 3
11 6 6
28 11 3
11 12 3
26 17 20
9 22 22
6 17 3
14 22 3
20 15 20
24 21 3
6 16 3
17 6 3
11 25 3
14 4 3
31 19 3
20 2 3
2 6 6
22 32 3
4 7 3
20 9 19
27 17 20
60 120
12 15 3
4 26 58
17 24 3
56 40 12
47 22 3
60 57 3
23 45 3
60 4 58
37 28 52
60 52 52
47 5 3
44 10 52
45 22 3
18 21 3
46 18 3
49 40 52
43 19 19
3 14 3
34 56 48
59 8 48
9 17 3
11 39 3
10 12 3
39 6 3
50 24 58
18 54 3
39 54 3
13 5 5
12 37 3
48 32 3
58 60 58
54 51 58
13 5 5
54 36 48
48 20 48
15 29 52
12 46 3
44 48 48
6 52 52
16 6 52
7 11 3
43 10 48
14 55 14
11 36 3
7 8 48
32 23 3
45 36 3
57 55 3
56 44 48
21 16 58
57 32 3
37 23 52
40 27 3
28 20 52
55 29 3
33 52 52
28 24 58
25 38 48
2 45 3
14 55 14
52 42 52
12 3 3
4 22 3
3 47 3
16 25 48
14 22 9
39 9 30
35 17 3
20 9 3
30 11 3
51 23 51
7 60 58
37 35 29
31 39 3
42 17 3
32 25 3
46 58 3
22 54 3
